run_no,spat_feed,diff_mort,juv-mort,time,BA
7,TRUE,TRUE,0,90,45.1845732
2,TRUE,TRUE,0,70,45.82937946
5,TRUE,TRUE,0,65,45.33904687
4,TRUE,TRUE,0,57,37.61873379
8,TRUE,TRUE,0,67,42.28004302
2,TRUE,TRUE,0,71,46.28178428
7,TRUE,TRUE,0,91,45.47652406
3,TRUE,TRUE,0,76,46.99320054
5,TRUE,TRUE,0,66,45.7666754
8,TRUE,TRUE,0,68,42.33827328
1,TRUE,TRUE,0,77,38.98901878
4,TRUE,TRUE,0,58,38.12395372
3,TRUE,TRUE,0,77,45.30406136
5,TRUE,TRUE,0,67,46.24082093
2,TRUE,TRUE,0,72,46.76615076
5,TRUE,TRUE,0,68,45.78561346
6,TRUE,TRUE,0,75,44.79141269
4,TRUE,TRUE,0,59,38.46460185
2,TRUE,TRUE,0,73,47.40655187
5,TRUE,TRUE,0,69,45.62612775
8,TRUE,TRUE,0,69,42.71340312
2,TRUE,TRUE,0,74,47.49818491
7,TRUE,TRUE,0,92,45.87897331
5,TRUE,TRUE,0,70,44.71329074
2,TRUE,TRUE,0,75,47.42867779
3,TRUE,TRUE,0,78,45.38204753
1,TRUE,TRUE,0,78,39.0517585
8,TRUE,TRUE,0,70,42.98493279
2,TRUE,TRUE,0,76,46.54038476
5,TRUE,TRUE,0,71,45.35976724
3,TRUE,TRUE,0,79,45.09605747
7,TRUE,TRUE,0,93,46.39717953
2,TRUE,TRUE,0,77,44.79784876
1,TRUE,TRUE,0,79,39.1200797
8,TRUE,TRUE,0,71,43.73104603
3,TRUE,TRUE,0,80,45.11702471
5,TRUE,TRUE,0,72,46.31481086
2,TRUE,TRUE,0,78,44.65709991
6,TRUE,TRUE,0,76,45.2232369
1,TRUE,TRUE,0,80,39.58785003
2,TRUE,TRUE,0,79,44.61616667
5,TRUE,TRUE,0,73,46.49705428
8,TRUE,TRUE,0,72,43.6305327
4,TRUE,TRUE,0,60,37.86355772
6,TRUE,TRUE,0,77,44.34448488
2,TRUE,TRUE,0,80,43.69000508
1,TRUE,TRUE,0,81,40.33337787
8,TRUE,TRUE,0,73,43.55392651
2,TRUE,TRUE,0,81,43.97062432
2,TRUE,TRUE,0,82,43.02827532
4,TRUE,TRUE,0,61,37.83840445
